# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR
123 -2.248578 0.409549 0.117985 192 189 108 0
124 2.315884 3.945486 -0.149250 220 207 30 0
125 2.357091 3.880394 -0.171348 221 211 18 0
126 2.318707 3.909934 -0.225940 218 207 21 0
127 2.294805 3.951072 -0.194170 223 212 22 0
128 2.260081 3.977588 -0.248727 222 211 21 0
129 -1.888106 0.224040 0.489620 197 197 161 0
130 -1.747761 0.435646 0.332806 202 199 180 0
131 -1.552450 0.502821 0.360638 220 217 202 0
132 -1.943639 0.378623 0.296504 190 189 135 0
133 -2.266982 0.304399 0.249502 194 192 109 0
134 -1.403183 0.309837 0.977218 191 191 157 0
135 -1.128080 0.360211 0.591710 201 194 165 0
136 -0.631803 0.465387 0.575241 175 175 141 0
137 -1.215191 0.397070 0.466720 205 205 171 0
138 -1.441001 0.294919 0.582021 199 196 161 0
139 -0.830312 0.472488 0.422140 204 203 175 0
140 -1.894798 0.481368 0.257345 196 194 111 0
141 -2.266982 0.304399 0.249502 189 189 129 0
142 -2.248578 0.409549 0.117985 188 188 124 0
143 -2.974603 0.037861 0.368681 185 184 136 0
144 -1.888106 0.224040 0.489620 201 198 165 0
145 -2.806131 0.054470 0.727018 187 183 135 0
146 -2.874656 0.276576 0.137661 182 181 125 0
147 -1.888106 0.224040 0.489620 201 199 151 0
148 -1.336610 0.483023 0.435350 218 216 191 0
149 -1.489737 0.362128 0.485881 210 206 179 0
150 -1.215191 0.397070 0.466720 199 199 165 0
151 -1.441001 0.294919 0.582021 197 193 158 0
152 -1.298278 0.453170 0.430026 219 218 190 0
153 2.283826 0.679920 1.286052 168 165 112 0
154 2.695378 0.775084 1.350325 161 159 110 0
155 2.103903 0.826408 1.506433 164 161 116 0
156 2.809486 0.618758 1.154212 166 163 112 0
157 2.566737 0.579171 0.938807 171 168 115 0
158 3.003411 0.719577 1.257453 166 163 110 0
159 2.989565 0.644385 0.886463 171 165 117 0
160 2.370214 5.515216 1.948876 9 9 11 0
161 2.350913 5.514902 1.929531 40 37 4 0
162 2.346025 5.513944 1.964962 33 28 32 0
163 2.369813 5.518100 1.920408 33 32 1 0
164 2.397959 5.515442 1.937112 9 11 10 0
165 2.376837 5.514920 1.974181 11 11 9 0
166 2.402795 5.505596 1.993796 8 10 7 0
167 2.449623 3.235364 -0.633728 35 42 1 0
168 2.482169 3.223757 -0.598568 192 199 25 0
169 2.442774 3.200404 -0.659635 18 21 2 0
170 2.444064 3.272511 -0.621677 143 148 54 0
171 2.435873 3.238326 -0.660689 4 4 2 0
172 2.521320 3.136035 -0.603840 208 207 37 0
173 2.462938 3.159763 -0.649980 158 157 39 0
174 0.793208 0.701356 1.283891 205 203 178 0
175 0.644664 0.682212 1.159920 182 183 151 0
176 0.914513 0.664462 1.260625 184 181 150 0
177 0.627463 0.734364 1.303933 196 196 170 0
178 0.444195 0.751321 1.287917 184 185 154 0
179 0.339707 0.725650 1.254456 183 184 152 0
180 0.461857 0.711760 1.234318 182 181 151 0
181 0.403954 0.701591 1.136863 179 180 146 0
182 1.697901 4.601966 -1.878320 138 132 38 0
183 1.678905 4.512493 -1.757756 134 135 33 0
184 1.647065 4.511203 -1.851299 141 135 51 0
185 1.636112 4.469316 -1.781963 140 135 43 0
186 1.604088 4.438182 -1.800794 142 137 46 0
187 1.581903 4.441275 -1.860082 175 169 75 0
188 1.654794 4.577254 -1.945085 143 136 45 0
189 1.709978 4.668670 -1.962313 138 134 34 0
190 1.931230 4.278885 1.281329 108 104 41 0
191 1.962496 4.387276 1.384013 131 131 81 0
192 1.901821 4.350983 1.334431 114 111 40 0
193 1.932834 4.173003 1.206983 130 126 55 0
194 1.865694 4.271765 1.261915 104 101 30 0
195 1.882250 4.173308 1.202713 120 112 37 0
196 1.859751 4.412519 1.374244 112 110 35 0
197 1.904958 4.428318 1.410476 129 129 69 0
198 0.444195 0.751321 1.287917 190 190 162 0
199 0.146244 0.764148 1.248862 188 187 156 0
200 0.339707 0.725650 1.254456 186 183 148 0
201 0.427743 0.642137 0.553326 171 169 118 0
202 0.403954 0.701591 1.136863 181 181 143 0
203 0.627463 0.734364 1.303933 213 206 126 0
204 0.317287 0.752733 1.354516 198 197 169 0
205 0.369308 0.783449 1.325151 208 207 161 0
206 0.199964 0.758824 1.375726 198 201 174 0
207 0.171043 0.746781 1.354726 190 190 156 0
208 0.099564 0.800755 1.394861 223 221 198 0
209 0.181805 0.782098 1.384893 229 231 210 0
210 0.204626 0.798402 1.364868 221 220 200 0
211 0.040101 0.785061 1.424741 219 215 190 0
212 0.071706 0.770579 1.423338 232 229 210 0
213 -0.171705 0.733066 1.490861 209 207 182 0
214 0.199964 0.758824 1.375726 220 222 201 0
215 -0.041443 0.759660 1.460189 211 209 168 0
216 0.082929 0.753883 1.409439 206 200 184 0
217 0.369308 0.783449 1.325151 223 223 199 0
218 1.280406 4.216180 -1.624121 106 104 27 0
219 1.224829 4.331882 -1.656101 85 81 10 0
220 1.280292 4.397340 -1.802807 101 102 32 0
221 1.210800 4.288208 -1.569991 75 71 0 0
222 1.177025 4.317452 -1.539528 74 65 0 0
223 1.182785 4.367530 -1.613029 69 65 1 0
224 1.246439 4.219474 -1.552363 78 76 1 0
225 1.261131 4.228336 -1.594634 85 84 4 0
226 1.330771 4.179312 -1.652459 148 146 87 0
227 1.396290 4.532116 -2.081413 97 95 54 0
228 1.447571 4.242487 -1.756345 175 170 88 0
229 -1.879601 0.528875 0.277744 217 211 65 0
230 -1.861572 0.540430 0.324824 220 213 63 0
231 -1.830926 0.523464 0.318498 224 220 84 0
232 -1.814779 0.538347 0.376941 217 209 64 0
233 -1.796175 0.524579 0.357640 223 219 85 0
234 -1.918238 0.552847 0.286954 212 206 56 0
235 -1.783087 0.521564 0.333643 219 217 98 0
236 -1.866173 0.550817 0.361135 218 208 58 0
237 -1.760240 0.523900 0.390134 218 213 83 0
238 1.784508 0.629668 0.994828 160 157 114 0
239 2.030881 0.693043 0.093551 161 161 123 0
240 2.326061 0.683624 0.421234 177 174 133 0
241 2.601278 0.739601 0.367313 180 176 141 0
242 2.519002 0.714671 0.627855 177 173 128 0
243 1.941443 0.681924 1.381102 161 159 111 0
244 2.283826 0.679920 1.286052 165 163 114 0
245 2.477438 0.863869 -0.022185 163 160 119 0
246 2.492268 0.760601 0.148300 188 184 147 0
247 2.086641 0.735462 1.435389 161 159 111 0
248 2.566737 0.579171 0.938807 172 169 116 0
249 0.914513 0.664462 1.260625 187 186 158 0
250 0.644664 0.682212 1.159920 179 178 147 0
251 1.053272 0.639872 1.137473 174 169 127 0
252 1.097032 0.657901 1.309893 172 168 139 0
253 1.003037 0.714009 1.303061 89 88 60 0
254 1.039347 0.684591 1.323495 165 163 138 0
255 1.154979 0.690769 1.337359 93 91 42 0
256 0.427743 0.642137 0.553326 165 162 119 0
257 0.793208 0.701356 1.283891 193 190 59 0
258 1.183142 0.675947 1.353636 108 106 57 0
259 1.253584 0.723010 1.375168 95 95 23 0
260 1.123670 0.739819 1.339590 88 86 27 0
261 -1.942585 0.432265 0.221391 196 195 128 0
262 -1.763577 0.491737 0.264481 154 155 137 0
263 -1.943639 0.378623 0.296504 191 191 139 0
264 -1.797421 0.529511 0.270058 183 179 152 0
265 -1.624801 0.568906 0.305514 230 230 238 0
266 -1.689065 0.540691 0.312468 210 209 214 0
267 -1.512097 0.575494 0.344613 237 237 235 0
268 -1.552450 0.502821 0.360638 217 215 202 0
269 -1.747761 0.435646 0.332806 194 195 181 0
270 -1.569190 0.541144 0.301158 224 224 212 0
271 -2.266982 0.304399 0.249502 187 187 127 0
272 -1.654637 0.536509 0.321478 223 223 223 0
273 -1.918238 0.552847 0.286954 214 212 67 0
274 -1.879601 0.528875 0.277744 216 214 69 0
275 -1.932503 0.529416 0.211188 213 215 79 0
276 -1.894798 0.481368 0.257345 195 191 117 0
277 -1.871367 0.518802 0.233277 208 206 123 0
278 -1.656023 0.528265 0.326872 229 225 226 0
279 -1.710798 0.537816 0.313775 236 235 230 0
280 -1.962086 0.523028 0.125836 197 196 114 0
281 -1.654637 0.536509 0.321478 222 221 219 0
282 -1.830926 0.523464 0.318498 223 223 113 0
283 -1.797421 0.529511 0.270058 177 172 140 0
284 -1.689065 0.540691 0.312468 213 214 209 0
285 -1.739562 0.536613 0.328205 200 196 193 0
286 -1.783087 0.521564 0.333643 198 198 128 0
287 -2.248578 0.409549 0.117985 189 185 112 0
288 1.594067 4.935687 -1.559831 218 211 45 0
289 1.635040 4.952862 -1.641410 222 215 49 0
290 1.603757 4.982036 -1.655787 222 215 46 0
291 1.636774 4.989634 -1.707870 221 214 45 0
292 1.616279 5.021666 -1.735919 218 213 51 0
293 1.574906 5.017658 -1.691374 221 214 48 0
294 1.550037 4.975718 -1.599705 223 215 46 0
295 1.640364 4.891639 -1.541968 220 212 49 0
296 1.697404 4.935774 -1.719180 217 213 54 0
297 1.665015 4.969767 -1.720975 219 212 44 0
298 1.665608 4.929657 -1.648973 221 214 46 0
299 1.572492 4.870752 -1.438186 209 206 39 0
300 1.615259 4.846876 -1.444809 212 205 37 0
301 -1.195995 0.601130 0.375329 237 238 222 0
302 -1.106469 0.713399 0.354068 244 242 219 0
303 -0.861742 0.732708 0.323378 252 254 241 0
304 -0.608563 0.623751 0.350452 204 205 187 0
305 -0.830312 0.472488 0.422140 209 208 180 0
306 -1.046684 0.520876 0.397846 221 224 197 0
307 -0.728299 0.709957 0.327587 249 251 237 0
308 -0.853996 0.785654 0.314403 251 253 242 0
309 -0.686726 0.788468 0.309122 223 223 213 0
310 -0.734416 0.817694 0.309035 233 234 228 0
311 -0.649849 0.756288 0.312703 169 169 157 0
312 -0.707979 0.858579 0.309174 204 203 198 0
313 -0.789095 0.827288 0.304844 249 250 244 0
314 -0.765934 0.663904 0.345232 244 247 230 0
315 -0.978516 0.592861 0.381194 229 231 209 0
316 1.844284 5.057837 1.343877 174 172 25 0
317 1.829201 5.069880 1.390043 167 164 23 0
318 1.873371 5.106687 1.373931 180 176 27 0
319 1.812026 5.021692 1.301510 162 158 22 0
320 1.810091 5.027783 1.344347 159 156 23 0
321 1.920208 5.126641 1.341568 201 196 44 0
322 1.924983 5.153645 1.392552 184 178 28 0
323 2.011145 5.191211 1.352852 208 204 43 0
324 2.031457 5.231076 1.415496 219 217 57 0
325 2.066634 5.209701 1.344652 218 215 58 0
326 1.980341 5.194461 1.392726 200 195 39 0
327 1.968508 5.158769 1.340949 205 200 46 0
328 1.817786 5.039155 1.370402 154 150 16 0
329 2.100601 5.277669 1.439781 217 212 68 0
330 2.119370 5.246134 1.378279 217 211 63 0
331 1.792864 5.018311 1.373373 142 139 10 0
332 1.783401 4.994087 1.344234 141 137 12 0
333 1.886198 5.089616 1.328148 187 183 34 0
334 2.144231 5.283002 1.425020 214 207 65 0
335 -1.739562 0.536613 0.328205 170 173 162 0
336 -1.783087 0.521564 0.333643 171 170 105 0
337 -1.730186 0.526871 0.367844 141 138 93 0
338 -1.656023 0.528265 0.326872 225 227 216 0
